Id,Comments,Label
汽车大师,两场大戏很酷，其他看完感觉跟我去年上的台湾心灵鸡汤课差不多,71
文泽尔,自杀小队确实不理想 然而奇异博士也好不到哪里去 除了前段的嗑药呈现不错外 从入门到习武 憨厚师兄、藏经阁、叛教弟子、邪教教主、黑化……斯特兰奇修炼巫术的故事很有武侠小说感 细想却找不出任何亮点 几个刻意营造出的笑点都很尴尬 印象中这位Derrickson正是彻底毁掉pinhead系列的最后一根稻草,72
Khef,大Boss居然是被烦死的。。。,73
托尼·王大拿,利用题材对视觉效果的出色应用引人入胜，但背景信息量大，于是囫囵吞枣地往里灌，故事还是靠着俏皮话来制造亮点。,74
小野蛋子,这次炸香港终于不炸中环了，改炸雷生春了,75
汪金卫,①年度最佳商业大片，全片无尿点。②把奇幻法术与时间控制完美融合，特效画面撑起全片，很震撼。继《盗梦空间》《星际穿越》后再度体验到无与伦比的极度视觉奇观，非常享受！必须二刷IMAX！③文武结合，张弛有度，穿插笑点，节奏很棒④剧情简单，反派强行灌输世界观⑤演得都不错⑥有两个彩蛋,76
陆支羽,4.0。1.死亡赋予生命意义。2.无论永生还是循环，都是莫大的惩罚，宛如西西弗斯附体。3.几场城市保卫战，宛如扩大版盗梦，花样炫技，看得挺爽。4.很多人冲着福尔摩斯大战汉尼拔去看，但我最爱的还是蒂尔达·斯文顿女王。,77
水仙操,"淘宝爆款宝具豪华套餐：盗梦空间维度变形，2001时间隧道，哆啦A梦任意门，皇卯流结界，屌爷替身世界暂停，赫敏时间转换器，德库拉红丝绒斗篷，卷福贝克街贱贱的笑点。  ""There are other life meanings.""""like what, you?"" Mr. Doctor @Sydney Event Cinemas Golden Class",78
Terence_W_Yang,古一法师的戏份是全片精华，除此以外是剧作最为单薄的漫威电影（我称之为魔法版《蚁人》剧情remake），美剧化的台词，故事细节粗糙，不合时宜的幽默，就一白开水似的叙事，加点“炫”的特效就没了，这种一味堆砌视觉效果和高深概念，而没有任何深入诠释的电影，只会让人觉得莫名其妙，沦为娱乐玩具。,79
匡匡,不喜3D的人表示，人物的确在3D效果下更身姿挺拔。服装设计太加分，正反两派都帅炸天了，麦叔出场简直倒吸一口凉气。新时代灵修合一思想＋一点点神秘学＋一点点科幻梗：物理学宇宙观、多维空间、时间循环＋花哨打斗＋伦敦折叠的新奇视效，最后再来点天人交战、抛掉ego成就高我?保证众口味各取所需。,80
明安,剧情真的太弱智了，不过看得还蛮开心的,81
吴松张,卷福的一千万种死法,82
徐若风,漫威在成为当代电影快餐文化之王的路上再进一步，星战的商业神话再现不无可能。是虎头蛇尾糊弄的套路还是友好化用东方元素更简明清晰创造复杂世界观为之后铺路一目了然。如卢卡斯所言，“这世界上没什么原力，只有钱。”当然，一切想象，还是站在巨人的肩膀上，超越是历史的必然。,83
陈哈,看《盗梦空间》的时候，心说视觉都这样这样了，以后咋办呐。结果，视觉无极限啊，无法原创突破，《奇异博士》想了个妙招，把盗梦空间之折叠+王牌特工之脑爆+美队、钢铁侠之类的科技+哈利波特之魔法等，给你打包了，反复轰炸，撸到你爽吐为止。视觉是真爽，但是还缺点什么，我也说不上来... ...,84
?????_爻,3D效果棒 几何转换空间简直强迫症福音 灵魂出窍穿越时空那段炫得我不自觉地张开了嘴成痴呆状 手拿大呲花 披风萌到家 真听不惯卷福的美音 boss多玛姆是伍迪哈里森么【人生被毁定律 前辈反叛定律 师傅牺牲定律 同伙走人定律 新人必找组织定律】就知道卷福不会轻易亲女人 最后一幕好像手表广告 (华谊w.m,85
肠黥,一颗给城市折叠，一颗给。。。。总之，不能更多了。。。,86
文森特九六,真心受不了漫威片叙事上那种保大体弃小节的匆忙节奏以及由此导致的看似花哨实则混乱的剪辑模式，在这种状态下能出彩的地儿基本都是情节推进停滞的地儿，比如公认挺飞的那场致幻戏。,87
丢了的心,漫威是属于那种产品质量基本上稳定有保障的机构————稳定到即使演员换成雷剧主演也不影响。,88
夏奈喜欢你,这么多年了，香港在好莱坞电影里还是那么破。#为了照顾中国观众，特意把西藏法师改成了尼泊尔的#,89
疼。,真的是嗑药神片。,90
Nhm1607,6.0/10看完预告片不用再看正片；可悲可叹，一流的好莱坞电影工业和特效主要用来批量制造这种视觉垃圾，当漫画的附庸，反过来绑架观众,91
11,虽然我可能是全场最enjoy这部电影的一名观众。。。?????,92
贫困户,只想说一句：你们都是法师、大法师，为什么要近身肉搏！为什么？！为什么？！,93
芦哲峰,都说真人电影，漫威碾压DC，但我认为最好的超级英雄电影还是出自DC——《黑暗骑士》与《守望者》；漫威的电影，过于爆米花，缺乏一个强大的世界观。看时花团锦簇，看完之后片叶不沾身，过目即忘。本片算是漫威向诺兰靠拢的尝试，伦敦折叠加月光宝盒，多重宇宙加盗梦空间，算得上最好的一部漫威。,94
阿子,开车不能接电话，以及就算已经拿了PHD，也要看书才能当一个Master,95
HaGaU,作为一部超级英雄片有这么密集的小笑点！小巧思！小细节！小情绪！还有这么恢宏庞大的背景！让人目瞪口呆的特效！治愈各种强迫症的几何美学！真心服！（傲娇的斗篷同学你好抢戏哦?乛?乛?,96
l ǐ,特效很棒啦，但是这剧情跟部分国产修仙小说有什么区别…,97
Peter Cat,3.5，漫威终于有了一部世界观相对复杂，以至于让特效显得格外丑和过度的系列,98
A L E X,"Tilda也太帥了，求Ancient one前傳！Death is what gives life a meaning, to know your days are numbered, your time is short.You think after all these time I’d be ready. But look at me, stretching one moment out into a thousand, just so I can watch the snow.",99
麻绳,很意外地高于预期，从复联的力量系到奇异博士的魔法系，漫威总算是走出了创新的一小步。不过对于你一个电波我一个火球魔法对战场面，我始终觉得挺滑稽的，特别是脑补了一下他们的拍摄场面，更觉难以直视。BC还是不够帅，蒂尔达斯文顿的光头很性感。,100
泉の向日葵,本尼和蒂尔达，确实是知名欧美演员中，饰演法师的不二人选。从开场狂妄自大的天才名医，到车祸后的颓败自弃，再到学会接受不一样的世界，最后单挑大Boss放嘴炮，迷人得要命。故事当然还是老一套，角色尤其反派塑造单薄，笑点插入和演员自身魅力不无关系。特效是亮点，镜像及折叠世界等魔法展现超好看。,101
谢谢你们的鱼,打四星以下好友考虑绝交,102
shininglove,又名马脸吴老二的香功传奇,103
Lycidas,@balmes 觉得无论设定还是卡司都是漫威单英雄电影迄今最佳，磕了药飞上天一样的特效好棒呀！Tilda Swinton的角色不知为何让我想到了master乌龟…结尾又回到了漫威套路，打boss的时候前面累积起来的惊喜全部用尽，于是我不出意外地又睡着了…,104
大富人家王单纯,视效炸裂！高举斗篷欢呼，这是唯心主义里程碑式的胜利！彩蛋1简直可爱到爆炸233 不剧透233,105
殇潮|Enigma,想体验变成超级英雄吗，嗑药就好啦,106
JoshuaWilliams,一开始就要把主角扔进各种情景，过于快速的节奏与在文戏方面马马虎虎的执行使得其对于几乎每个角色的刻画都是应付任务般潦草与空洞，表演被披上了一层浮夸，好在角色塑造的点都踩到了，唯独斯文顿的角色是一抹亮点，本片用十分简单的剧作打包贩卖概念，然而它在每个概念上都不够深入，够深入的只有特效,107
bear.07煩躁地,万花镜。本尼美式口音相当溜。斯坦李老爷子的出场总是很惊喜，然而只有我一个人乐,108
心生,7分。视效太棒！IMAX全画幅占比很高，真天旋地转了！开场之战，古一法师带奇异博士初尝浩渺宇宙，纽约大战等，打破空间，自由扭转，无限延展，再配上3D，真绝了！3D功不可没。也得益于各角色的特性，让视效有了巨大发挥空间。不过单纯从故事上看还是有点平，槽点还是存在，高潮缺乏力道，大boss太弱。,109
圆满金秋,漫威家族的新成员，特效满分，剧情不错～我已经脑补了博士跟其他漫威成员的好多剧情了，哈哈,110
懒羊羊的蛋糕,夏洛克异度时空番外篇——爱慕doctor,111
HAIBARA,好“看”，也喜欢多元空间（？）这个设定，故事略简单，疑似的高潮部分在讲笑中火速地结束了。。。非常需要那个身体沉睡而元神在看书的技能【,112
H2O.,对我来说性感的男人有两种。一是巨石强森那种身材性感，一种是卷福这样看着小奇怪高智商的性感。一样类型的，还有鱼饼和谢耳朵。,113
猫猫,太神棍了！,114
这名想了大半宿,再一次扩展漫威宇宙的版图，各式的魔法确实也很炫酷，CG真的是非常惊艳。但是另一维度的表现方式和自家《蚁人》有些重复了，故事也是走套路，几个配角的塑造有点惨不忍睹，麦叔、瑞秋这俩显然被浪费了。为啥觉得大家对m家很宽容对d家很苛刻呢？多了几个笑料？还是多了几张熟脸？,115
放开那个西红柿,整部电影就是一部生成艺术啊。,116
\t^h/,除了最后常规的反派领便当戏份外，所有有mads出场的段落都很好看，因为都是大场面。,117
Angry Mob,辛苦特效人员了，但是，为什么是马脸？？？？？,118
aolitttttttt,一片看尽实习医生格蕾，哈利波特，盗梦空间，学会时间简史，太极武术，道家玄学，漫威IP开发技术已然甩DC十条街，腕表广告植入不能更自然。,119
九個9,这是拿万花筒拍的吧？,120
希哈。,所以说，开车还是不要玩手机。时间倒流那段好酷，卡司一万个赞。打不死你我还不能烦死你吗！,121
恶魔奶爸Sam,打斗不精彩，且魔法的威力被大幅削弱了，到最后本尼的手也没治好，而且魔法和治伤是矛盾的，要么留住魔法拯救世界，要么治好手放弃魔法,122
花痴袭人,BC帅死啦！,123
半支烟,就这么点特效？烦死boss那段就像是大雄一遍又一遍跳进了抽屉??,124
三七,特效嗑药般的惊人然而剧情人物撑死3星。老麦一如以往大多漫威反派并无多大发挥不过终于圆了老年人打星梦。作为迷妹对（又一次的）捆绑play相当满意，好评。,125
王写写,主要是后半段太糟糕了，节奏完全被拍没了。视觉效果也就那么几样，少了一些灵性。前半段新鲜感一过立刻感到乏味。,126
巨米雨,鬼畜停不下来，嘴炮终极杀器，歌单花样百出，煎饼果子一言难尽，虽然最后BOSS博士其实是BC自己的自攻自受，但是电影里博士和斗篷是一眼定情终成眷属。,127
窥窗桃枝,一群西方人组了个东方邪教。东西方奇幻揉的四不像，内核稀碎，西方人根本拍不了境界啊心魔啊之类的东西。阐述三千世界那部分就是把蚁人无限跌落原子世界的段落重拍了一次吧？所谓的视觉奇观，诺兰的空间反转是有逻辑的，这戏里面大部分的空间扭曲毫无逻辑就是纯粹服务视觉而已。全是套路。,128
? 狐不悔，,没有想象中那么那么好看，但是卷福和特效还是挺好看的，加一星。等了第一个彩蛋，雷神?(????????????)?,129
坎大哈王俊凯,换个好看的主演好吗,130
月下独酌,3D IMAX 太爽了。看好漫威的新系列，本尼和超级英雄很来电，明天再刷一遍。,131
W.Q.,视觉效果真的好，但是你们把Strange医生翻译成Strange博士合适吗？,132
局长,漫威流水线,133
斯齊佐飛力尼克,绚丽如万花筒，漫威真是在逼死自己，下一部一旦缺点想象力就扑街啰。,134
沐风而遇周星星,嘴炮拯救世界，盗梦空间的特效，伦敦折叠的梗。漫威系列，最喜欢这部和银河护卫队，都有些冷幽默。,135
[已注销],"金轮法王 我变秃了也变强了 跑到尼泊尔依旧被黑人抢手表 ""去泥马的查克拉""""鸽吻滚"" 画个圈圈诅咒你 所以最重要的是:氪!装!备! 男友加入邪教怎么办!?急在线等 斯坦李:哈哈哈你看看你 仨人就毁灭了世界 从零开始的讨价还价 大boss是被活活烦死的 胖兄也懂无限宝石? 战斗戏有点渣 果然不能指望法师近战",136
Omar Indeed,特别困扰的是 西医治疗无效于是去求仙 但是师父高空坠落脑积水的时候又第一时间送医院 所以中医到底行不行啊？,137
妙可中国,没人觉得这片剧情和港台那些七八十年代的老功夫片如出一辙吗？叛逆又很有天赋的男主拜入师门，然后师门出叛徒，师傅不幸被暗算，男主经历重重磨难学成后来个师弟出马，终于扫平罪恶匡扶正义成为一代宗师。另外，特效很炫，不过也就很炫，而已。,138
OMG42,漫威大连续剧又一集，场面不错但剧情用跟头发也能预测，然后编剧是看过火影或者Jojo的,139
江湖遠人,浑身上下眼睛疼。,140
snowflake,四星半，远超出预期。本以为漫威在超级英雄系列之后很难再上新台阶，但漫威真的做到了，非常独特别致的表现风格，一定要看3D，会看到一个令人兴奋惊讶的漫威世界的新面貌。好看好看特别好看！,141
郁殷,「這是什麼咒語？」「這是Wi-Fi密碼。」@Taipei,142
查理,没什么比电影里还能看见ex公寓更窝心的事情了 :),143
扭腰客,这个角色好适合卷福，至于古一大师，张三丰讲话：妖尼姑妖尼姑妖尼姑！！！,144
路西法尔,大概是史上最烧钱的鬼畜视频……华丽的效果一定程度上对突破了指环王、哈利·波特等奇幻作品对于魔法世界的限定，尤其取消了咏唱的设定使得法师也可以加入肉搏。剧情则让人联想起旧式香港功夫片中的主人公。本质上这是部歪果仁的东方奇遇，最后决战设定在香港应该不是心血来潮。不过笑料不算高明~,145
锐利修蕊,全片没一句废话，前半部分干脆利落。讲玄学参透佛教，以佛（镜面意向）、法（纲常脱俗）、僧（现实眼缘）代入空间折叠。“思想雕琢现实”而后是精神推翻时间。本以为漫威找法鲨就是极限，请来Tilda女王癔病挡降Mads男神。主线开拓恋物癖。后半部落于序章套路，好笑也够精彩。IMAX引申万花筒世界炫酷。,146
余小岛,反正漫威早就把本该花在剧本上的时间和资源都花在特效画面上了。。。。不要深究，看个热闹，伦敦折叠的场面还是很酷的,147
林翛然,开车不要打电话&感觉在电影院玩纪念碑谷 视效大于剧情,148
格里高尔,镜中世界很有趣，多次元世界也挺有趣，但多数万花筒效果太快了，能驻足观看的细节太少，不扎实，连同半透明灵体效果，某些视效有点太复古，有简陋感。剧情就不谈了，提到复联以及雷神出来时，感觉最无聊，漫威硬串起来的这个乱七八糟毫无平衡感的杂烩世界实在太幼稚了，再好的演员也救不了。,149
绫波丽,剧情＜特效，剧情服务于特效的典型。依然粉丝向。总之来说，爽片就像吸毒，只有越来越大的剂量才能满足你,150
